TF,strain,date,restriction,mechanism,time,GeneName,green_median,red_median,log2_ratio,log2_cleaned_ratio,log2_noise_model,log2_cleaned_ratio_zth2d,log2_selected_timecourses,log2_shrunken_timecourses
ACE2,SMY64,12/16/2015,P,GEV,20.0,PLM2,213.96615,155.57485,-0.425890990043,-0.242182456612,0.140050223953,-0.242182456612,-0.242182456613,-0.1758487547216421
ACE2,SMY64,12/16/2015,P,GEV,30.0,PLM2,205.53995,127.6945,-0.653031724585,-0.521866763644,0.147358278323,-0.521866763644,-0.521866763644,-0.5211646976705898
ACE2,SMY64,12/16/2015,P,GEV,45.0,PLM2,225.3983,121.2295,-0.860785469969,-0.717060615551,0.150424139066,-0.717060615551,-0.717060615552,-0.7170569885768754
ACE2,SMY64,12/16/2015,P,GEV,90.0,PLM2,243.12835,153.9305,-0.624694975385,-0.719237908972,0.156039401223,-0.719237908972,-0.719237908972,-0.7192344190732951
ACE2,SMY64,12/16/2015,P,GEV,0.0,STB1,354.1761,361.92,0.0,0.0,0.138298054866,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,STB1,330.2879,308.69495,-0.130201655821,-0.133846553199,0.129683688594,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,STB1,321.81335,353.9813,0.105170471111,0.108501874892,0.129069878512,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,STB1,332.68055,338.67625,-0.00553778383683,-0.0521791055201,0.130154949019,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,STB1,275.10795,265.6919,-0.0813189531602,-0.15147583243,0.130357967365,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,STB1,286.8937,282.01035,-0.0575794758071,-0.255359595053,0.13817958104,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,STB1,315.25085,321.1277,-0.00293756318621,-0.254178957528,0.14144453344,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,STB1,336.5024,395.7668,0.200202411198,-0.0870451426053,0.147402269861,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,SWI4,537.80905,371.43045,0.0,0.0,0.103721921536,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,SWI4,582.6764,453.29685,0.168363686296,0.110168659507,0.0992191006999,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,SWI4,596.5297,389.995,-0.0791293334088,-0.120015207194,0.0984154682728,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,SWI4,608.9634,427.2295,0.0267075465637,-0.00896388180011,0.0998342707207,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,SWI4,568.50555,387.60175,-0.0199867924284,-0.136883961619,0.100098803748,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,SWI4,567.7051,349.1943,-0.168052533541,-0.338114404916,0.110091632165,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,SWI4,596.9437,433.19395,0.0706717380533,-0.204198009924,0.114162721132,-0.0,0.0,0.0
