Genes,peak_time,Distance
STV1,56.0,3.927449205530286
HOS3,46.0,3.9274663926358455
DIN7,23.0,3.9281522933540343
BRE1,47.0,3.928535680940949
RPT2,5.0,3.929530991708825
GMH1,63.0,3.930419934145414
ADA2,43.0,3.930534982302818
NIS1,7.0,3.931136325611496
BUD9,17.0,3.9323882616514823
VPS54,54.0,3.932428156273204
SMT3,52.0,3.9324924336827642
PMT6,22.0,3.9328128365690054
USE1,1.0,3.933061833266947
YLL064C,17.0,3.933299937193621
OST5,37.0,3.933937978453399
SDC1,55.0,3.93438379195765
CDC13,30.0,3.9347445777693357
RTT106,27.0,3.941856953182649
YCL054W-A,27.0,3.9422215389947555
PAF1,72.0,3.943560730383847
SSO2,55.0,3.9435659877657843
THI21,24.0,3.9456757397586393
MSF1,73.0,3.947150702306774
RAD27,25.0,3.947199339321699
EFB1,47.0,3.949145275960446
YGL039W,2.0,3.9531386595088414
NDC1,39.0,3.95340433062179
HST4,6.0,3.953764318429462
POB3,19.0,3.9547311949251838
RDS3,3.0,3.9552910477211403
MID1,29.0,3.955638652427292
HEL1,1.0,3.9578898177512376
EXG1,38.0,3.9585971359620613
PRP3,1.0,3.960707651949572
YLR456W,72.0,3.9619114081405127
BET2,56.0,3.963679837216596
ORC3,43.0,3.9644499848908223
TPO2,52.0,3.9651359143464826
PMT1,31.0,3.965839093690836
MTF2,7.0,3.9661914158665628
YDR541C,23.0,3.9663802307723333
YDR248C,11.0,3.9666075891181327
PMT7,28.0,3.9681091286884116
TAE2,18.0,3.9692169102752186
RSC58,52.0,3.9693037440066985
ITR2,40.0,3.970372416402733
IME2,50.0,3.9703900033283746
NPY1,22.0,3.970973499929979
SEC17,4.0,3.9711509599551813
SWC5,13.0,3.971711158998458
YKR078W,69.0,3.9726215088550276
AUR1,48.0,3.9729493797647164
INP1,52.0,3.972984522025432
PRE7,4.0,3.973547012633417
DID4,2.0,3.974803722954909
SWI4,19.0,3.97501023685597
FPR2,11.0,3.9755042458035885
RSC2,44.0,3.9755437529556135
OPT2,11.0,3.9757835745726156
SPT3,73.0,3.977461110573334
GNT1,36.0,3.977638429651227
IST3,3.0,3.978572410915717
RMA1,33.0,3.979854585320777
GAC1,40.0,3.982241521865343
SEC22,54.0,3.9826276469698816
SLM4,52.0,3.9862115008081096
YHC1,70.0,3.986482404804747
IDH2,28.0,3.9869866328942396
GIN4,28.0,3.987527819805289
RRN10,49.0,3.9882241167913683
KAE1,37.0,3.9894809714189297
KEL2,25.0,3.9897348800005874
GEA1,43.0,3.989875713095969
POF1,10.0,3.9910989406224275
IMH1,68.0,3.9920774009329105
SET1,40.0,3.9940420988092904
YGP1,68.0,3.9962971537913163
SIR4,48.0,3.9963817065332745
RPT6,6.0,3.9970510940680484
NUP2,46.0,3.9972751444252
RVB1,11.0,3.997333747482455
TOS2,25.0,3.998009247001345
SED5,58.0,3.998029836412192
UNG1,28.0,3.9989533758641476
TAX4,1.0,3.999688916081757
YLR211C,4.0,4.001046449132949
GET4,48.0,4.001108763963923
YCR096C,71.0,4.001532280282286
PHO4,44.0,4.00269405275732
SMF1,41.0,4.004504850410034
LOC1,72.0,4.004826910052449
SSO1,8.0,4.0069551279623
YER186C,25.0,4.007026199972947
STT3,34.0,4.007342762978758
BGL2,52.0,4.008364962180123
KTR1,29.0,4.009285778890017
OCA1,47.0,4.00974006186209
VTA1,42.0,4.010087577092669
EAF7,3.0,4.012340485032388
SEC6,63.0,4.0127223113525705
NTG2,67.0,4.0127657830711305
PIG1,9.0,4.013416571060041
TAF2,68.0,4.014464738657125
PFS2,2.0,4.016867179766278
VMA22,3.0,4.018201372507585
STR3,42.0,4.018594021905004
YBL113C,19.0,4.019742043794373
GOT1,36.0,4.020419857820076
RPT1,2.0,4.020439144458322
SLD5,24.0,4.021430268271052
KIN4,42.0,4.021480798895419
MIF2,28.0,4.022184723639349
IVY1,1.0,4.022314002972006
RHO3,51.0,4.022349427462406
YOR314W,62.0,4.023859692541196
HSL7,50.0,4.02405849496212
YNL320W,3.0,4.024949477160473
MBP1,47.0,4.0249676150242335
SSQ1,6.0,4.025147772098215
VPS4,8.0,4.025597156841176
SMY1,60.0,4.025814127430656
NRK1,17.0,4.02586483340549
TOP1,11.0,4.02612421987649
YER077C,53.0,4.027148021631205
TIR1,38.0,4.028321681047309
TRM10,21.0,4.028415888270368
ALG6,2.0,4.029110588229842
COQ2,6.0,4.030206320815748
CSM3,28.0,4.031131590468627
NTO1,39.0,4.031714180580599
YMR166C,20.0,4.033125204162949
YML054C-A,42.0,4.034354629524123
JNM1,66.0,4.0346515598944235
FLC3,49.0,4.035428227178621
RPO41,69.0,4.035809377875899
BNA6,27.0,4.035986638107441
CLN2,28.0,4.036467055954269
BOI1,45.0,4.03790071670883
PLP2,1.0,4.0382105716590075
BUD8,56.0,4.038966765170652
SUB1,0.0,4.038989324442852
GTS1,60.0,4.0391301615187425
MTG1,8.0,4.039237756225412
RTR1,68.0,4.040218279272978
YKL018C-A,4.0,4.041350009687484
OST3,45.0,4.041367170072243
SCD6,50.0,4.042124326907734
SLC1,41.0,4.042501971379841
ERG4,36.0,4.044782232160737
SFI1,38.0,4.044788730547308
CDC11,46.0,4.045514234595343
MED4,10.0,4.045735061449116
YPT52,72.0,4.045998276017926
IMD3,59.0,4.0466517143892275
GRX8,52.0,4.046960146440551
YJR098C,56.0,4.047708219455226
RSB1,62.0,4.048365130929529
MTW1,31.0,4.048434529259153
YLR326W,32.0,4.048780083116916
NRT1,32.0,4.0495632952398735
TUB1,44.0,4.050021981514909
PEX18,20.0,4.050566791270447
ABD1,67.0,4.051051957134541
FAA3,9.0,4.05111095317419
MRPL17,67.0,4.051385897702487
GPI8,33.0,4.051856233242669
HXT3,68.0,4.052039416170943
RFT1,33.0,4.052758222409147
RAD2,3.0,4.053099957907492
HIF1,28.0,4.053303775050399
ESA1,72.0,4.053405538877059
GAT1,8.0,4.054241776995373
YDL211C,30.0,4.054731679575837
NAP1,68.0,4.055380944466288
GDH1,8.0,4.056169637930593
PUF3,61.0,4.056421938273542
TSC10,41.0,4.057285450005496
YJR015W,43.0,4.057424172447857
NAM2,24.0,4.060407344521484
IST2,51.0,4.061431939159354
