,start,end,path,graph,time
468,MCM1,STB1,,grn,
469,MCM1,SWI4,,grn,
470,MCM1,SWI5,,grn,
471,MCM1,SWI6,,grn,
472,MCM1,TOS4,,grn,
473,MCM1,WHI5,,grn,
474,MCM1,YHP1,,grn,
475,MCM1,YOX1,,grn,
476,NDD1,ACE2,,grn,
477,NDD1,CDC20,,grn,
478,NDD1,CDH1,,grn,
479,NDD1,CLB1,,grn,
480,NDD1,CLB2,,grn,
481,NDD1,CLB3,,grn,
482,NDD1,CLB4,,grn,
483,NDD1,CLB5,,grn,
484,NDD1,CLB6,,grn,
485,NDD1,CLN1,,grn,
486,NDD1,CLN2,,grn,
487,NDD1,CLN3,,grn,
488,NDD1,FKH1,,grn,
489,NDD1,FKH2,,grn,
490,NDD1,HCM1,,grn,
491,NDD1,MBP1,,grn,
492,NDD1,MCM1,,grn,
493,NDD1,NDD1,,grn,
494,NDD1,NRM1,,grn,
495,NDD1,PLM2,,grn,
496,NDD1,STB1,,grn,
497,NDD1,SWI4,,grn,
498,NDD1,SWI5,,grn,
499,NDD1,SWI6,,grn,
500,NDD1,TOS4,,grn,
501,NDD1,WHI5,,grn,
502,NDD1,YHP1,,grn,
503,NDD1,YOX1,,grn,
504,NRM1,ACE2,,grn,
505,NRM1,CDC20,"['NRM1', 'YHP1', 'CDC20']",grn,15.882972781299765
506,NRM1,CDH1,"['NRM1', 'NRM1', 'CDH1']",grn,11.975694590966734
507,NRM1,CLB1,"['NRM1', 'YHP1', 'CLB1']",grn,25.486193169554596
508,NRM1,CLB2,"['NRM1', 'YOX1', 'CLB2']",grn,4.0737820233470625
509,NRM1,CLB3,"['NRM1', 'WHI5', 'HCM1', 'CLB3']",grn,29.916088993404703
510,NRM1,CLB4,"['NRM1', 'WHI5', 'HCM1', 'CLB4']",grn,30.567857761075217
511,NRM1,CLB5,"['NRM1', 'WHI5', 'HCM1', 'CLB5']",grn,18.09331676496307
512,NRM1,CLB6,"['NRM1', 'STB1', 'CLB6']",grn,8.726692139910003
513,NRM1,CLN1,"['NRM1', 'STB1', 'CLN1']",grn,16.55062634230371
514,NRM1,CLN2,"['NRM1', 'WHI5', 'HCM1', 'CLN2']",grn,17.998010837351927
515,NRM1,CLN3,"['NRM1', 'HCM1', 'FKH2', 'CLN3']",grn,29.074203385858386
516,NRM1,FKH1,"['NRM1', 'WHI5', 'HCM1', 'FKH1']",grn,32.36118437192703
517,NRM1,FKH2,"['NRM1', 'WHI5', 'HCM1', 'FKH2']",grn,32.29815704930134
518,NRM1,HCM1,"['NRM1', 'WHI5', 'HCM1']",grn,17.908350767118222
519,NRM1,MBP1,,grn,
520,NRM1,MCM1,,grn,
521,NRM1,NDD1,"['NRM1', 'NRM1', 'NDD1']",grn,5.385836968164418
522,NRM1,NRM1,"['NRM1', 'NRM1']",grn,1.603362144948934
523,NRM1,PLM2,,grn,
524,NRM1,STB1,"['NRM1', 'STB1']",grn,8.470773460810465
