TF,Gene,R_squared_dogbox_init
WHI5,TOS4,0.9967996109018953
WHI5,YHP1,0.9782428052161719
WHI5,YOX1,0.976474423898092
YHP1,CDC20,0.9589614050591521
YHP1,CLB1,0.9865725427337451
YHP1,CLB2,0.9683030546057817
YHP1,HCM1,0.2043726059428792
YHP1,PLM2,0.9142024345389304
YHP1,WHI5,0.41132014512417026
YHP1,YOX1,0.9847030370004162
YOX1,CDC20,0.9665516944940791
YOX1,CLB2,0.9703515226846247
YOX1,CLB6,0.9595803320230047
YOX1,CLN1,0.8312823431644619
YOX1,CLN2,0.2705903692057463
YOX1,CLN3,0.9519832852637253
YOX1,PLM2,0.48034385952116276
YOX1,STB1,0.8496691374561124
YOX1,SWI4,0.983542672451531
YOX1,SWI5,0.49598886605944914
YOX1,TOS4,0.5063046897806772
YOX1,YHP1,0.9959240398474909
ACE2,CLB2,-2.220446049250313e-16
ACE2,CLB3,0.0
ACE2,CLB6,0.0
ACE2,CLN1,0.4028092866575891
ACE2,CLN2,0.11392951140799468
ACE2,CLN3,0.3867810606714758
ACE2,HCM1,0.0
ACE2,NDD1,0.8731232743749735
ACE2,NRM1,-2.220446049250313e-16
ACE2,PLM2,0.0
ACE2,STB1,0.0
ACE2,SWI4,-2.220446049250313e-16
ACE2,SWI5,0.0
ACE2,TOS4,1.1102230246251565e-16
ACE2,WHI5,2.220446049250313e-16
ACE2,YHP1,0.9978313645389747
ACE2,YOX1,0.0
FKH1,ACE2,0.0
FKH1,CDC20,0.6848357047076477
FKH1,CLB1,3.101654024317835e-05
FKH1,CLB2,0.4657970205023404
FKH1,CLB3,0.9312606861964113
FKH1,CLB4,-2.220446049250313e-16
FKH1,CLB5,0.8574709297833474
FKH1,CLB6,0.0
FKH1,CLN1,0.0
FKH1,CLN2,0.0
FKH1,CLN3,0.006123667650188014
FKH1,FKH2,-2.220446049250313e-16
FKH1,MBP1,0.0
FKH1,NDD1,0.0
FKH1,NRM1,-2.220446049250313e-16
FKH1,PLM2,0.9879361223701246
FKH1,STB1,0.2060704269425444
FKH1,SWI4,0.8824607255851241
FKH1,YHP1,0.9961598029461006
FKH1,YOX1,0.07263760796424457
FKH2,ACE2,0.0
FKH2,CDC20,2.220446049250313e-16
FKH2,CDH1,0.8600072303962245
FKH2,CLB1,0.0
FKH2,CLB2,0.0
FKH2,CLB3,3.3306690738754696e-16
FKH2,CLB4,0.0
FKH2,CLB6,0.9800069209558943
FKH2,CLN1,1.1102230246251565e-16
FKH2,CLN2,0.0
FKH2,CLN3,0.04229597467963431
FKH2,FKH1,0.0
FKH2,HCM1,0.025802052007265264
FKH2,MBP1,0.0
FKH2,MCM1,0.050627486461981674
FKH2,NDD1,0.9609406507082839
FKH2,NRM1,0.0
FKH2,PLM2,0.0
FKH2,STB1,0.8003162880692417
FKH2,SWI5,0.0
FKH2,SWI6,0.0
FKH2,TOS4,0.0
FKH2,WHI5,0.0
FKH2,YOX1,0.0
HCM1,CDC20,0.0
HCM1,CLB3,0.9974439796787681
HCM1,CLB4,0.9969989294167425
HCM1,CLB5,-2.220446049250313e-16
HCM1,CLB6,0.7553892684081671
HCM1,CLN2,1.1102230246251565e-16
HCM1,CLN3,-2.220446049250313e-16
HCM1,FKH1,0.9887526237112747
HCM1,FKH2,0.9989549715530758
HCM1,MBP1,0.9903781330866241
HCM1,NDD1,0.9991656769348747
HCM1,NRM1,0.9975929177107807
HCM1,PLM2,0.9882119577674675
HCM1,SWI4,0.7729394656566142
HCM1,SWI5,0.9888560473308915
HCM1,SWI6,0.9893966343110571
HCM1,TOS4,2.220446049250313e-16
HCM1,WHI5,0.9975542734346842
HCM1,YHP1,0.9816743585603434
HCM1,YOX1,0.0
MBP1,ACE2,0.9388010204782129
MBP1,CDC20,2.220446049250313e-16
MBP1,CDH1,0.8584488667239751
MBP1,CLB1,0.9992761635952581
MBP1,CLB3,0.0
MBP1,CLB4,1.0
MBP1,CLB5,1.0
MBP1,CLB6,1.0
MBP1,CLN1,1.0
MBP1,CLN3,0.25611225800413673
MBP1,FKH1,0.950521806542161
MBP1,FKH2,0.992299163127991
MBP1,HCM1,2.220446049250313e-16
MBP1,MCM1,0.9721668525129724
MBP1,NDD1,-2.220446049250313e-16
MBP1,NRM1,0.11281545823184846
MBP1,PLM2,1.0
MBP1,SWI4,1.0
MBP1,SWI6,1.0
MBP1,TOS4,0.004803574028143687
MBP1,YOX1,1.0
NRM1,ACE2,0.49797452434950107
NRM1,CDC20,0.0064753032399494925
NRM1,CDH1,0.8540820821229061
NRM1,CLB1,0.0
NRM1,CLB2,0.0
NRM1,CLB3,0.0
NRM1,CLB4,-4.440892098500626e-16
NRM1,CLB5,2.220446049250313e-16
NRM1,CLB6,-2.220446049250313e-16
NRM1,CLN2,0.0
NRM1,CLN3,0.7707102830915938
NRM1,FKH1,0.740960973683588
NRM1,FKH2,0.6371810512480953
NRM1,HCM1,0.0
NRM1,MBP1,-2.220446049250313e-16
NRM1,NDD1,0.49406995905581097
NRM1,PLM2,0.0
NRM1,STB1,0.0
NRM1,SWI4,0.6580004362433999
NRM1,SWI6,0.0
NRM1,TOS4,0.0
NRM1,WHI5,0.0
NRM1,YHP1,0.0
NRM1,YOX1,0.0
STB1,CLB5,0.9982714164734489
STB1,CLB6,0.9064591206148297
STB1,CLN1,0.9147708965699707
STB1,CLN2,0.731409955967827
STB1,HCM1,0.9369666629778933
STB1,NRM1,0.9803660986492254
STB1,PLM2,0.9980605871704425
STB1,SWI4,0.0
STB1,TOS4,0.998310831673091
STB1,YHP1,0.9419803963327522
STB1,YOX1,0.6813507379879495
SWI5,ACE2,0.5227715508450246
SWI5,CDC20,0.0
SWI5,CLB1,-2.220446049250313e-16
SWI5,CLB2,0.0
SWI5,CLB3,0.0
SWI5,CLB5,0.9681056709905942
